"Uri","Contextual?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
"/user","Yes","3","2.0","[user]","116","0.0116"
"/user","Yes","3","2.0","[user]","39","0.0039"
"/organizations","Yes","1","2.0","[organization, guid, count, shorten]","35","0.0034999999"
"/organizations/{organization_guid}/shorten_counts","Yes","1","2.0","[organization, guid, count, shorten]","188","0.0188"
"/organizations/{organization_guid}","Yes","1","2.0","[organization, guid, count, shorten]","83","0.0083"
"/shorten","Yes","1","2.0","[organization, guid, count, shorten]","24","0.0023999999"
"/bitlinks/{bitlink}/countries","No","No","0.0","N/A","N/A","0.0232"
"/bitlinks/{bitlink}/clicks","Yes","2","0.6370952","[click, refer, shorten]","170","0.016999999"
"/bitlinks/{bitlink}/referrers_by_domains","Yes","4","0.9704385","[bitlink, domain, referrer, null, summary, country]","114","0.011399999"
"/expand","Yes","5","2.0","[nullget, expand]","16","0.0016"
"/bitlinks","Yes","4","0.45565772","[bitlink, domain, referrer, null, summary, country]","44","0.0044"
"/bitlinks/{bitlink}/referrers","Yes","4","0.7645262","[bitlink, domain, referrer, null, summary, country]","79","0.0079"
"/bitlinks/{bitlink}/clicks/summary","Yes","2","0.5516624","[click, refer, shorten]","109","0.0109"
"/bitlinks/{bitlink}","Yes","4","0.45565772","[bitlink, domain, referrer, null, summary, country]","63","0.0063"
"/bitlinks/{bitlink}","Yes","4","0.45565772","[bitlink, domain, referrer, null, summary, country]","63","0.0063"
"/bitlinks/{bitlink}/referring_domains","Yes","4","0.60126114","[bitlink, domain, referrer, null, summary, country]","128","0.0128"
