"Uri","Contextual?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
"/threads/create.json","Yes","4","2.0","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","394","0.0394"
"/posts/create.json","Yes","4","2.0","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","242","0.0242"
"/forums/details.json","Yes","3","2.0","[nullpost, detail, forum, category, null, update, listmoderationhistory, json]","249","0.024899999"
"/forums/addModerator.json","Yes","4","0.949104","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","402","0.0402"
"/forums/interestingForums.json","Yes","4","1.3796536","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","409","0.0409"
"/forums/listCategories.json","Yes","4","2.0","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","343","0.0343"
"/forums/listFollowers.json","No","No","0.0","N/A","N/A","0.0352"
"/forums/listModerators.json","Yes","4","1.4482756","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","346","0.0346"
"/forums/listMostActiveUsers.json","No","No","0.0","N/A","N/A","0.053799998"
"/forums/listMostLikedUsers.json","No","No","0.0","N/A","N/A","0.048"
"/forums/listPosts.json","Yes","4","2.0","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","276","0.0276"
"/forums/listThreads.json","Yes","4","2.0","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","294","0.029399998"
"/forums/listUserModerationHistory.json","Yes","3","0.76415294","[nullpost, detail, forum, category, null, update, listmoderationhistory, json]","419","0.041899998"
"/categories/details.json","Yes","3","2.0","[nullpost, detail, forum, category, null, update, listmoderationhistory, json]","159","0.015899999"
"/categories/list.json","Yes","4","2.0","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","181","0.018099999"
"/categories/listPosts.json","Yes","4","2.0","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","222","0.0222"
"/categories/listThreads.json","Yes","4","2.0","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","241","0.0241"
"/posts/approve.json","Yes","4","2.0","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","177","0.0177"
"/posts/details.json","Yes","3","1.1789324","[nullpost, detail, forum, category, null, update, listmoderationhistory, json]","213","0.0213"
"/posts/getContext.json","Yes","4","1.2950336","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","248","0.024799999"
"/posts/list.json","Yes","4","2.0","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","273","0.0273"
"/posts/listModerationHistory.json","Yes","3","0.20078713","[nullpost, detail, forum, category, null, update, listmoderationhistory, json]","393","0.0393"
"/posts/listPopular.json","No","No","0.0","N/A","N/A","0.0287"
"/posts/listReporters.json","Yes","4","1.424077","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","312","0.0312"
"/posts/vote.json","Yes","1","2.0","[nullget, json, post, user, forum, listactiveforum, vote, listmostlikeduser, listmoderator, listfollower, listcategory]","171","0.017099999"
"/threads/details.json","Yes","4","1.1529202","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","221","0.0221"
"/threads/list.json","Yes","4","2.0","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","197","0.0197"
"/threads/listPosts.json","Yes","4","2.0","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","269","0.026899999"
"/threads/update.json","Yes","4","1.6877404","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","156","0.0156"
"/users/details.json","Yes","3","1.6877404","[nullpost, detail, forum, category, null, update, listmoderationhistory, json]","176","0.0176"
"/users/interestingUsers.json","Yes","4","1.3796536","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","294","0.029399998"
"/users/listActiveForums.json","Yes","4","1.5343009","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","347","0.0347"
"/users/listForums.json","Yes","4","2.0","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","241","0.0241"
"/users/listMostActiveForums.json","No","No","0.0","N/A","N/A","0.0316"
"/users/listOwnedChannels.json","Yes","4","1.0826997","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","310","0.031"
"/users/listPosts.json","Yes","4","2.0","[thread, listpost, list, user, forum, json, create, updateprofile, listownedchannel, interestinguser, approve, category, listmostactiveuser, addmoderator, post]","201","0.0201"
"/users/updateProfile.json","Yes","3","1.3361921","[nullpost, detail, forum, category, null, update, listmoderationhistory, json]","195","0.0195"
