"Uri","Contextual?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
"/{person-id}","Yes","2","1.3204863","[nullget, user, video, live, friend, group, null, taggable, history, permission, custom, asset, album, person]","660","0.066"
"/{user-id}/accounts","Yes","3","1.5469909","[user, business, request, music, likes, label, assign, apprequestformerrecipient, account]","631","0.063099995"
"/{user-id}/albums","Yes","2","1.5469909","[nullget, user, video, live, friend, group, null, taggable, history, permission, custom, asset, album, person]","584","0.058399998"
"/{user-id}/apprequestformerrecipients","Yes","3","1.5469909","[user, business, request, music, likes, label, assign, apprequestformerrecipient, account]","453","0.0453"
"/{user-id}/apprequests","Yes","1","1.0511823","[photo, encoder, apprequest, nullget]","681","0.0681"
"/{user-id}/assigned_business_asset_groups","No","No","0.0","N/A","N/A","0.1042"
"/{user-id}/business_users","Yes","3","1.6602432","[user, business, request, music, likes, label, assign, apprequestformerrecipient, account]","396","0.0396"
"/{user-id}/custom_labels","Yes","2","1.3960458","[nullget, user, video, live, friend, group, null, taggable, history, permission, custom, asset, album, person]","629","0.0629"
"/{user-id}/friends","Yes","2","1.5469909","[nullget, user, video, live, friend, group, null, taggable, history, permission, custom, asset, album, person]","563","0.0563"
"/{user-id}/groups","Yes","2","1.5469909","[nullget, user, video, live, friend, group, null, taggable, history, permission, custom, asset, album, person]","488","0.0488"
"/likes","Yes","3","2.0","[user, business, request, music, likes, label, assign, apprequestformerrecipient, account]","90","0.009"
"/{user-id}/live_encoders","Yes","2","1.3403032","[nullget, user, video, live, friend, group, null, taggable, history, permission, custom, asset, album, person]","691","0.0691"
"/{user-id}/live_videos","Yes","2","1.6602432","[nullget, user, video, live, friend, group, null, taggable, history, permission, custom, asset, album, person]","1379","0.1379"
"/{user-id}/music","Yes","3","1.5469909","[user, business, request, music, likes, label, assign, apprequestformerrecipient, account]","355","0.035499997"
"/{user-id}/permissions","Yes","2","1.5469909","[nullget, user, video, live, friend, group, null, taggable, history, permission, custom, asset, album, person]","604","0.060399998"
"/{user-id}/photos","Yes","2","1.1075476","[nullget, user, video, live, friend, group, null, taggable, history, permission, custom, asset, album, person]","566","0.056599997"
"/{user-id}/request_history","Yes","2","1.3378129","[nullget, user, video, live, friend, group, null, taggable, history, permission, custom, asset, album, person]","899","0.089899994"
"/{user-id}/taggable_friends","No","No","0.0","N/A","N/A","0.073199995"
"/{user-id}/videos","Yes","2","1.5469909","[nullget, user, video, live, friend, group, null, taggable, history, permission, custom, asset, album, person]","559","0.0559"
