"Uri","Contextual?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
"/user/repos","Yes","2","1.2036788","[org, issue, organization, alert, repo]","1114","0.1114"
"/users/{username}/repos","Yes","2","0.89029837","[org, issue, organization, alert, repo]","1425","0.1425"
"/orgs/{org}/repos","Yes","2","2.0","[org, issue, organization, alert, repo]","741","0.074099995"
"/repositories","Yes","5","2.0","[owner, user, null, repository]","169","0.0169"
"/repos/{owner}/{repo}","Yes","3","1.3787683","[repo, project]","595","0.059499998"
"/repos/{owner}/{repo}/topics","Yes","3","1.1184155","[repo, project]","582","0.058199998"
"/repos/{owner}/{repo}/topics","Yes","3","1.1184155","[repo, project]","808","0.0808"
"/repos/{owner}/{repo}/vulnerability-alerts","Yes","3","0.8967594","[repo, project]","569","0.0569"
"/repos/{owner}/{repo}/contributors","No","No","0.0","N/A","N/A","0.0976"
"/repos/{owner}/{repo}/languages","No","No","0.0","N/A","N/A","0.050699998"
"/repos/{owner}/{repo}/tags","No","No","0.0","N/A","N/A","0.081599995"
"/issues","Yes","1","2.0","[issue, nullpatch, file]","215","0.021499999"
"/orgs/{org}/issues","Yes","2","2.0","[org, issue, organization, alert, repo]","333","0.033299997"
"/repos/{owner}/{repo}/issues","Yes","3","1.1469313","[repo, project]","595","0.059499998"
"/repos/{owner}/{repo}/issues/{issue_number}","No","No","0.0","N/A","N/A","0.104499996"
"/repos/{owner}/{repo}/issues","Yes","3","1.1469313","[repo, project]","479","0.0479"
"/repos/{owner}/{repo}/issues/{issue_number}","No","No","0.0","N/A","N/A","0.0914"
"/organizations","Yes","2","2.0","[org, issue, organization, alert, repo]","135","0.013499999"
"/users/{username}/orgs","Yes","2","0.89029837","[org, issue, organization, alert, repo]","330","0.033"
"/orgs/{org}","Yes","2","2.0","[org, issue, organization, alert, repo]","218","0.0218"
"/repos/{owner}/{repo}/pulls","No","No","0.0","N/A","N/A","0.0448"
"/repos/{owner}/{repo}/pulls/{pull_number}","No","No","0.0","N/A","N/A","0.114599995"
"/repos/{owner}/{repo}/pulls/{pull_number}","No","No","0.0","N/A","N/A","0.067499995"
"/repos/{owner}/{repo}/pulls/{pull_number}/commits","No","No","0.0","N/A","N/A","0.1344"
"/repos/{owner}/{repo}/pulls/{pull_number}/files","No","No","0.0","N/A","N/A","0.082899995"
"/repos/{owner}/{repo}/projects","Yes","3","1.5340762","[repo, project]","436","0.0436"
"/orgs/{org}/projects","Yes","2","1.5841585","[org, issue, organization, alert, repo]","342","0.034199998"
"/users/{username}/projects","Yes","6","1.0739459","[pull, username, topic, vulnerability]","897","0.0897"
"/repos/{owner}/{repo}/projects","Yes","3","1.5340762","[repo, project]","428","0.042799998"
"/orgs/{org}/projects","Yes","2","1.5841585","[org, issue, organization, alert, repo]","353","0.035299998"
