"Uri","Contextual?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
"/cad.api","Yes","1","0.64592177","[nullget, api, nasa, natural, photo, search, gld, datum, genelab, nstedapus, null, tle, project, techport, caption]","585","0.0585"
"/fireball.api","No","No","0.0","N/A","N/A","0.0385"
"/mdesign.api","No","No","0.0","N/A","N/A","0.0315"
"/nhats.api","No","No","0.0","N/A","N/A","0.010799999"
"/sentry.api","Yes","1","0.10806806","[nullget, api, nasa, natural, photo, search, gld, datum, genelab, nstedapus, null, tle, project, techport, caption]","107","0.0106999995"
"/natural","Yes","1","2.0","[nullget, api, nasa, natural, photo, search, gld, datum, genelab, nstedapus, null, tle, project, techport, caption]","100","0.01"
"/natural/all","Yes","1","2.0","[nullget, api, nasa, natural, photo, search, gld, datum, genelab, nstedapus, null, tle, project, techport, caption]","152","0.015199999"
"/planetary/apod","No","No","0.0","N/A","N/A","0.0265"
"/neo/rest/v1/feed","No","No","0.0","N/A","N/A","0.0519"
"/DONKI/CME","No","No","0.0","N/A","N/A","0.023699999"
"/EPIC/api/natural/images","Yes","1","1.1724426","[nullget, api, nasa, natural, photo, search, gld, datum, genelab, nstedapus, null, tle, project, techport, caption]","409","0.0409"
"/cgi-bin/nstedAPI/nph-nstedAPI","No","No","0.0","N/A","N/A","0.0897"
"/genelab/data/glds/files/{GLDS_STUDY_ID}","No","No","0.0","N/A","N/A","0.0652"
"/genelab/data/search","No","No","0.0","N/A","N/A","0.0315"
"/mars-photos/api/v1/rovers/curiosity/photos","No","No","0.0","N/A","N/A","0.0382"
"/search","Yes","1","2.0","[nullget, api, nasa, natural, photo, search, gld, datum, genelab, nstedapus, null, tle, project, techport, caption]","68","0.0067999996"
"/asset/{nasa_id}","Yes","1","0.92990756","[nullget, api, nasa, natural, photo, search, gld, datum, genelab, nstedapus, null, tle, project, techport, caption]","184","0.0184"
"/metadata/{nasa_id}","No","No","0.0","N/A","N/A","0.015299999"
"/captions/{nasa_id}","Yes","1","1.4952003","[nullget, api, nasa, natural, photo, search, gld, datum, genelab, nstedapus, null, tle, project, techport, caption]","299","0.0299"
"/techport/api/projects/17792","No","No","0.0","N/A","N/A","0.0309"
"/tle","Yes","1","2.0","[nullget, api, nasa, natural, photo, search, gld, datum, genelab, nstedapus, null, tle, project, techport, caption]","45","0.0045"
