"Uri","Contextual?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
"/albums/{id}","Yes","1","1.2428005","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","599","0.059899997"
"/albums/{id}/tracks","Yes","1","1.4952003","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","382","0.0382"
"/albums","Yes","1","2.0","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","231","0.0231"
"/artists/{id}","Yes","1","1.2428005","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","217","0.021699999"
"/artists/{id}/albums","Yes","1","1.4952003","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","316","0.0316"
"/artists/{id}/top-tracks","Yes","1","1.1665108","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","526","0.0526"
"/artists/{id}/related-artists","Yes","1","1.1829773","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","400","0.04"
"/artists","Yes","1","2.0","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","184","0.0184"
"/categories/{id}","Yes","1","1.2428005","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","182","0.018199999"
"/categories/{id}/playlists","Yes","1","1.4952003","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","260","0.025999999"
"/browse/categories","Yes","1","2.0","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","152","0.015199999"
"/browse/featured-playlists","Yes","1","2.0","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","376","0.0376"
"/browse/new-releases","Yes","1","1.4906294","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","151","0.0150999995"
"/recommendations","Yes","1","0.35476187","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","73","0.0072999997"
"/episodes","Yes","1","2.0","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","75","0.0075"
"/playlists/{playlist_id}/followers/contains","No","No","0.0","N/A","N/A","0.0315"
"/playlists/{playlist_id}","Yes","1","1.4952003","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","220","0.022"
"/playlists/{playlist_id}/images","Yes","1","1.6214002","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","287","0.0287"
"/playlists/{playlist_id}/tracks","Yes","1","1.6214002","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","296","0.0296"
"/search","Yes","1","2.0","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","69","0.0069"
"/shows/{id}","Yes","1","1.2428005","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","125","0.012499999"
"/shows","Yes","1","2.0","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","67","0.0067"
"/shows/{id}/episodes","Yes","1","1.4952003","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","189","0.0189"
"/audio-analysis/{id}","Yes","1","1.4952003","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","205","0.020499999"
"/audio-features/{id}","Yes","1","1.4952003","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","332","0.0332"
"/audio-features","Yes","1","2.0","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","142","0.0142"
"/tracks/{id}","Yes","1","1.2428005","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","115","0.0115"
"/tracks","Yes","1","2.0","[nullget, playlist, artist, track, album, audio, show, feature, browse, category, episode, null, analysis, search, image]","65","0.0064999997"
