"Uri","Contextual?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
"/answers?order=desc&sort=activity&site={site}","Yes","1","2.0","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","377","0.037699997"
"/answers/{ids}?order=desc&sort=activity&site={site}","Yes","1","2.0","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","211","0.0211"
"/answers/{ids}/comments?order=desc&sort=creation&site={site}","Yes","1","1.6031046","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","312","0.0312"
"/badges","Yes","1","2.0","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","100","0.01"
"/badges/name","Yes","1","2.0","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","93","0.0093"
"/badges/recipients","Yes","1","1.2215924","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","149","0.0149"
"/badges/tags","Yes","1","2.0","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","124","0.012399999"
"/info","Yes","1","0.78634167","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","155","0.0155"
"/privileges","Yes","1","0.4399853","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","67","0.0067"
"/questions/{ids}/related?order=desc&sort=activity&site={site}","Yes","1","1.3697314","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","226","0.022599999"
"/questions/featured?order=desc&sort=activity&site={site}","Yes","1","1.0697658","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","225","0.022499999"
"/questions/no-answers","Yes","1","2.0","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","199","0.0199"
"/suggested-edits","No","No","0.0","N/A","N/A","0.0297"
"/tags","Yes","1","2.0","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","56","0.0056"
"/tags/moderator-only","Yes","1","2.0","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","113","0.011299999"
"/tags/required","Yes","1","1.235887","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","171","0.017099999"
"/tags/synonyms","No","No","0.0","N/A","N/A","0.0202"
"/tags/{tag}/top-answerers/{period}","No","No","0.0","N/A","N/A","0.0253"
"/tags/{tag}/top-askers/{period}","Yes","1","1.3036889","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","284","0.0284"
"/users/{ids}","Yes","1","2.0","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","106","0.0106"
"/users/{ids}/badges","Yes","1","2.0","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","157","0.0157"
"/users/{id}/privileges","Yes","1","1.4799951","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","161","0.016099999"
"/users/{ids}/questions","Yes","1","2.0","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","215","0.021499999"
"/users/{ids}/reputation","Yes","1","2.0","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","146","0.014599999"
"/users/{ids}/reputation-history","Yes","1","1.5596416","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","214","0.021399999"
"/users/{ids}/tags","Yes","1","2.0","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","136","0.013599999"
"/users/{id}/tags/{tags}/top-questions","Yes","1","2.0","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","339","0.0339"
"/users/{ids}/timeline","Yes","1","1.4809179","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","160","0.015999999"
"/users/{id}/top-question-tags","Yes","1","2.0","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","267","0.0267"
"/users/{id}/top-tags","Yes","1","2.0","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","276","0.0276"
"/users/moderators","Yes","1","2.0","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","96","0.0095999995"
"/users/moderators/elected","No","No","0.0","N/A","N/A","0.0218"
"/errors","Yes","1","0.6539189","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","45","0.0045"
"/sites","Yes","1","2.0","[nullget, tag, user, site, id, question, top, badge, sort, desc, order, activity, answer, moderator, reputation]","51","0.0050999997"
