"Uri","Contextual?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
"/v3/{agreementId}/production/electricity/flows","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","181","0.018099999"
"/v3/{agreementId}/production/electricity/data","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","175","0.0175"
"/v3/{agreementId}/production/electricity/graph","Yes","1","1.0802172","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","214","0.021399999"
"/v3/{agreementId}/production/electricity/delivery","Yes","1","1.0671395","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","195","0.0195"
"/v3/agreements","Yes","1","0.35143194","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","58","0.0058"
"/v3/{agreementId}/status","Yes","1","0.3844454","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","203","0.020299999"
"/v3/{agreementId}/consumption/gas/flows","Yes","1","1.1334556","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","244","0.0244"
"/v3/{agreementId}/consumption/electricity/data","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","190","0.019"
"/v3/{agreementId}/consumption/districtheat/data","No","No","0.0","N/A","N/A","0.0150999995"
"/v3/{agreementId}/consumption/electricity/flows","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","154","0.0154"
"/v3/{agreementId}/consumption/gas/data","Yes","1","1.1334556","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","135","0.013499999"
"/v3/{agreementId}/webhooks/{applicationId}","No","No","0.0","N/A","N/A","0.0209"
"/v3/{agreementId}/webhooks","No","No","0.0","N/A","N/A","0.0212"
"/v3/{agreementId}/webhooks","No","No","0.0","N/A","N/A","0.021"
"/v3/{agreementId}/thermostat/programs","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","173","0.0173"
"/v3/{agreementId}/thermostat/programs","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","111","0.0111"
"/v3/{agreementId}/thermostat/states","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","133","0.0133"
"/v3/{agreementId}/thermostat/states","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","154","0.0154"
"/v3/{agreementId}/thermostat","Yes","1","0.9529476","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","99","0.0099"
"/v3/{agreementId}/thermostat","Yes","1","0.9529476","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","69","0.0069"
"/v3/{agreementId}/devices/{deviceid}","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","101","0.0101"
"/v3/{agreementId}/devices/{deviceid}","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","104","0.0104"
"/v3/{agreementId}/devices/{deviceid}/data","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","131","0.0131"
"/v3/{agreementId}/devices","Yes","1","0.9529476","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","95","0.0095"
"/v3/{agreementId}/devices/{deviceid}/flows","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","158","0.0158"
"/v3/{agreementId}/devices/{deviceid}/flows","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","125","0.012499999"
