"Uri","Contextual?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
"/statuses/update","No","No","0.0","N/A","N/A","0.0058999998"
"/statuses/retweet","No","No","0.0","N/A","N/A","9.999999E-4"
"/favorites/create","No","No","0.0","N/A","N/A","5.9999997E-4"
"/favorites/list","No","No","0.0","N/A","N/A","4.9999997E-4"
"/statuses/lookup","No","No","0.0","N/A","N/A","8.0E-4"
"/statuses/oembed","No","No","0.0","N/A","N/A","9.999999E-4"
"/statuses/show","No","No","0.0","N/A","N/A","5.9999997E-4"
"/statuses/retweets","No","No","0.0","N/A","N/A","7.0E-4"
"/statuses/retweeters/ids","No","No","0.0","N/A","N/A","9.0E-4"
"/statuses/retweets_of_me","No","No","0.0","N/A","N/A","8.0E-4"
"/favorites/destroy","No","No","0.0","N/A","N/A","4.0E-4"
"/statuses/unretweet","No","No","0.0","N/A","N/A","5.9999997E-4"
"/statuses/destroy","No","No","0.0","N/A","N/A","4.9999997E-4"
"/lists/create","No","No","0.0","N/A","N/A","2.9999999E-4"
"/friendships/create","No","No","0.0","N/A","N/A","2.0E-4"
"/friendships/update","No","No","0.0","N/A","N/A","2.0E-4"
"/blocks/create","No","No","0.0","N/A","N/A","2.9999999E-4"
"/mutes/users/create","No","No","0.0","N/A","N/A","4.0E-4"
"/lists/members/create","No","No","0.0","N/A","N/A","4.0E-4"
"/lists/subscribers/create","No","No","0.0","N/A","N/A","2.9999999E-4"
"/lists/list","No","No","0.0","N/A","N/A","1.0E-4"
"/lists/members","No","No","0.0","N/A","N/A","2.0E-4"
"/lists/members/show","No","No","0.0","N/A","N/A","2.9999999E-4"
"/lists/memberships","No","No","0.0","N/A","N/A","2.0E-4"
"/lists/ownerships","No","No","0.0","N/A","N/A","2.0E-4"
"/lists/show","No","No","0.0","N/A","N/A","2.0E-4"
"/lists/statuses","No","No","0.0","N/A","N/A","2.9999999E-4"
"/lists/subscribers","No","No","0.0","N/A","N/A","2.0E-4"
"/lists/subscribers/show","No","No","0.0","N/A","N/A","2.0E-4"
"/lists/subscriptions","No","No","0.0","N/A","N/A","1.0E-4"
"/followers/ids","No","No","0.0","N/A","N/A","2.0E-4"
"/followers/list","No","No","0.0","N/A","N/A","1.0E-4"
"/friends/ids","No","No","0.0","N/A","N/A","1.0E-4"
"/friends/list","No","No","0.0","N/A","N/A","1.0E-4"
"/friendships/incoming","No","No","0.0","N/A","N/A","2.0E-4"
"/friendships/lookup","No","No","0.0","N/A","N/A","1.0E-4"
"/friendships/no_retweets/ids","No","No","0.0","N/A","N/A","2.9999999E-4"
"/friendships/outgoing","No","No","0.0","N/A","N/A","1.0E-4"
"/friendships/show","No","No","0.0","N/A","N/A","2.0E-4"
"/users/lookup","No","No","0.0","N/A","N/A","1.0E-4"
"/users/search","No","No","0.0","N/A","N/A","2.9999999E-4"
"/users/show","No","No","0.0","N/A","N/A","1.0E-4"
"/statuses/home_timeline","No","No","0.0","N/A","N/A","4.9999997E-4"
"/statuses/mentions_timeline","No","No","0.0","N/A","N/A","2.9999999E-4"
"/statuses/user_timeline","No","No","0.0","N/A","N/A","2.0E-4"
"/blocks/ids","No","No","0.0","N/A","N/A","1.0E-4"
"/blocks/list","No","No","0.0","N/A","N/A","1.0E-4"
"/mutes/users/ids","No","No","0.0","N/A","N/A","2.0E-4"
"/mutes/users/list","No","No","0.0","N/A","N/A","2.0E-4"
"/search/tweets","No","No","0.0","N/A","N/A","1.0E-4"
"/trends/available","No","No","0.0","N/A","N/A","2.0E-4"
"/trends/closest","No","No","0.0","N/A","N/A","5.9999997E-4"
"/trends/place","No","No","0.0","N/A","N/A","2.9999999E-4"
"/geo/reverse_geocode","No","No","0.0","N/A","N/A","2.9999999E-4"
"/geo/search","No","No","0.0","N/A","N/A","1.0E-4"
"/lists/members/destroy","No","No","0.0","N/A","N/A","2.0E-4"
"/lists/subscribers/destroy","No","No","0.0","N/A","N/A","2.9999999E-4"
"/lists/destroy","No","No","0.0","N/A","N/A","1.0E-4"
"/friendships/destroy","No","No","0.0","N/A","N/A","1.0E-4"
"/blocks/destroy","No","No","0.0","N/A","N/A","2.0E-4"
"/mutes/users/destroy","No","No","0.0","N/A","N/A","1.0E-4"
"/v3/{agreementId}/production/electricity/flows","No","No","0.0","N/A","N/A","7.0E-4"
"/v3/{agreementId}/production/electricity/data","No","No","0.0","N/A","N/A","4.0E-4"
"/v3/{agreementId}/production/electricity/graph","No","No","0.0","N/A","N/A","2.9999999E-4"
"/v3/{agreementId}/production/electricity/delivery","No","No","0.0","N/A","N/A","2.9999999E-4"
"/v3/agreements","No","No","0.0","N/A","N/A","1.0E-4"
"/v3/{agreementId}/status","No","No","0.0","N/A","N/A","2.0E-4"
