"Uri","Contextual?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
"/tutorial","Yes","5","2.0","[nullget, category, user, video, word, channel, tutorial]","403","0.0403"
"/users/{user_id}","Yes","2","1.5469909","[nullput, nulldelete, group, follow, null, likes, user]","1181","0.118099995"
"/users/{user_id}","Yes","2","1.5469909","[nullput, nulldelete, group, follow, null, likes, user]","986","0.0986"
"/users/{user_id}/feed","Yes","4","0.64282525","[follow, feed, tag, nulldelete, nullpatch]","828","0.0828"
"/me/feed","Yes","4","2.0","[follow, feed, tag, nulldelete, nullpatch]","148","0.0148"
"/users/{user_id}/following/{follow_user_id}","Yes","2","1.5469908","[nullput, nulldelete, group, follow, null, likes, user]","1001","0.100099996"
"/me/following/{follow_user_id}","Yes","2","1.5469909","[nullput, nulldelete, group, follow, null, likes, user]","518","0.051799998"
"/users/{user_id}/followers}","Yes","2","1.2341036","[nullput, nulldelete, group, follow, null, likes, user]","666","0.066599995"
"/me/followers","Yes","3","2.0","[follower, word, tag, group]","197","0.0197"
"/users/{user_id}/following/{follow_user_id}","Yes","2","1.5469908","[nullput, nulldelete, group, follow, null, likes, user]","906","0.0906"
"/me/following/{follow_user_id}","Yes","2","1.5469909","[nullput, nulldelete, group, follow, null, likes, user]","406","0.040599998"
"/users","Yes","2","2.0","[nullput, nulldelete, group, follow, null, likes, user]","264","0.0264"
"/categories/{category}","Yes","5","2.0","[nullget, category, user, video, word, channel, tutorial]","288","0.0288"
"/categories","Yes","5","2.0","[nullget, category, user, video, word, channel, tutorial]","136","0.013599999"
"/categories/{category}/channels","Yes","5","2.0","[nullget, category, user, video, word, channel, tutorial]","450","0.044999998"
"/categories/{category}/groups","Yes","5","1.406693","[nullget, category, user, video, word, channel, tutorial]","486","0.0486"
"/users/{user_id}/categories/{category}","Yes","5","1.7281945","[nullget, category, user, video, word, channel, tutorial]","693","0.069299996"
"/me/categories/{category}","Yes","5","2.0","[nullget, category, user, video, word, channel, tutorial]","388","0.038799997"
"/users/{user_id}/categories/{category}","Yes","5","1.7281945","[nullget, category, user, video, word, channel, tutorial]","760","0.076"
"//me/categories/{category}","Yes","5","2.0","[nullget, category, user, video, word, channel, tutorial]","283","0.028299998"
"/categories/{category}/videos/{video_id}","Yes","5","1.7281945","[nullget, category, user, video, word, channel, tutorial]","605","0.0605"
"/videos/{video_id}/categories","Yes","5","1.6602432","[nullget, category, user, video, word, channel, tutorial]","616","0.0616"
"/categories/{category}/videos","Yes","5","2.0","[nullget, category, user, video, word, channel, tutorial]","299","0.0299"
"/channels/{channel_id}","Yes","5","1.5469909","[nullget, category, user, video, word, channel, tutorial]","330","0.033"
"/channels/{channel_id}","Yes","5","1.5469909","[nullget, category, user, video, word, channel, tutorial]","425","0.0425"
"/channels","Yes","5","2.0","[nullget, category, user, video, word, channel, tutorial]","221","0.0221"
"/users/{user_id}/channels","Yes","5","1.6602432","[nullget, category, user, video, word, channel, tutorial]","550","0.055"
"/me/channels","Yes","5","2.0","[nullget, category, user, video, word, channel, tutorial]","131","0.0131"
"/channels/{channel_id}/categories/{category}","Yes","5","1.7281945","[nullget, category, user, video, word, channel, tutorial]","716","0.0716"
"/channels/{channel_id}/categories","Yes","5","1.6602432","[nullget, category, user, video, word, channel, tutorial]","467","0.046699997"
"/channels/{channel_id}/moderators/{user_id}","No","No","0.0","N/A","N/A","0.0765"
"/channels/{channel_id}/moderators","No","No","0.0","N/A","N/A","0.0535"
"/users/{user_id}/channels/{channel_id}","Yes","5","1.5469908","[nullget, category, user, video, word, channel, tutorial]","613","0.0613"
"/me/channels/{channel_id}","Yes","5","1.5469909","[nullget, category, user, video, word, channel, tutorial]","329","0.032899998"
"/channels/{channel_id}/users","Yes","5","1.6602432","[nullget, category, user, video, word, channel, tutorial]","396","0.0396"
"/users/{user_id}/channels/{channel_id}","Yes","5","1.5469908","[nullget, category, user, video, word, channel, tutorial]","594","0.0594"
"/me/channels/{channel_id}","Yes","5","1.5469909","[nullget, category, user, video, word, channel, tutorial]","283","0.028299998"
"/channels/{channel_id}/tags/{word}","Yes","5","1.3674822","[nullget, category, user, video, word, channel, tutorial]","481","0.0481"
"/channels/{channel_id}/tags/{word}","Yes","5","1.3674822","[nullget, category, user, video, word, channel, tutorial]","456","0.045599997"
"/channels/{channel_id}/tags","Yes","5","1.2093527","[nullget, category, user, video, word, channel, tutorial]","455","0.0455"
"/channels/{channel_id}/videos/{video_id}","Yes","5","1.5469908","[nullget, category, user, video, word, channel, tutorial]","783","0.0783"
"/videos/{video_id}/available_channels","Yes","5","1.6602432","[nullget, category, user, video, word, channel, tutorial]","669","0.0669"
"/channels/{channel_id}/videos","Yes","5","1.6602432","[nullget, category, user, video, word, channel, tutorial]","625","0.0625"
"/groups/{group_id}","Yes","2","1.5469909","[nullput, nulldelete, group, follow, null, likes, user]","370","0.037"
"/groups","Yes","1","2.0","[likes, group, nullpatch]","133","0.0133"
"/users/{user_id}/groups/{group_id}","Yes","2","1.5469908","[nullput, nulldelete, group, follow, null, likes, user]","698","0.0698"
"/me/groups/{group_id}","Yes","2","1.5469909","[nullput, nulldelete, group, follow, null, likes, user]","515","0.0515"
"/groups/{group_id}/videos/{video_id}","Yes","6","1.5469908","[channel, user, video, group]","820","0.081999995"
"/groups/{group_id}/videos/{video_id}","Yes","6","1.5469908","[channel, user, video, group]","1035","0.10349999"
"/groups/{group_id}/videos","Yes","6","1.6602432","[channel, user, video, group]","478","0.047799997"
"/users/{user_id}/likes/{video_id}","Yes","2","1.2634668","[nullput, nulldelete, group, follow, null, likes, user]","610","0.060999997"
"/me/likes/{video_id}","Yes","2","0.97994274","[nullput, nulldelete, group, follow, null, likes, user]","233","0.0233"
"/videos/{video_id}/likes","Yes","2","0.809671","[nullput, nulldelete, group, follow, null, likes, user]","601","0.060099997"
"/channels/{channel_id}/videos/{video_id}/likes","Yes","2","0.5900903","[nullput, nulldelete, group, follow, null, likes, user]","1038","0.1038"
"/users/{user_id}/likes","Yes","2","1.6602432","[nullput, nulldelete, group, follow, null, likes, user]","414","0.0414"
"/me/likes","Yes","1","2.0","[likes, group, nullpatch]","69","0.0069"
