"Uri","Cohesive?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
" /v2/register ","No","N/A","-3.0"," Register an app user at thethings.iO Platform. This endpoint also logs the user in (returns the session token and roles), so you don't have to do another API call to log him in.","251","0.0251"
" /v2/classes/me/ID_COLLECTION/PRIMARY_KEY ","No","N/A","-3.0"," Get Object Returns the object stored with the specified key.","153","0.015299999"
" /v2/utils/date/?format=FORMAT ","No","N/A","-3.0"," Get Server Date Retrieve the date of the server. The parameter format accepts two values: 'UTC' and 'unix_timestamp'.","115","0.0115"
" /v2/things/THING_TOKEN/tags/TAG_ID ","No","N/A","-3.0"," Delete Tags","20","0.0019999999"
" /v2/things/ID_COLLECTION/PRIMARY_KEY ","No","N/A","-3.0"," Update an object Change the values of an object. If there are some values which are not overwritten, these values will not be deleted.","131","0.0131"
" /v2/classes/me/ID_COLLECTION ","No","N/A","-3.0"," Get collection of objects Returns all the collection's objects sorted by primary key in descending order.","111","0.0111"
" /v2/things/THING_TOKEN/tags ","No","N/A","-3.0"," Get Tags Returns the tags of the thing.","64","0.0064"
" /v2/things/THING_TOKEN/firmwares/latest ","No","N/A","-3.0"," Get latest firmware version Query for the latest firmware informations for the model of the thing corresponding to the specified thing token. It will return all latest firmware registered for every micro-controller (MCU).","239","0.023899999"
" /v2/me/resources ","No","N/A","-3.0"," Get resources Get the user's resources and the things associated to each resource.","34","0.0033999998"
" /v2/me/resources/description ","No","N/A","-3.0"," Get thing's description There is a special resource called description that can contains meta data about the thing. This meta data could be the name of the thing (chosen by the user), geocoordinates, JSON objects and any other data the developer wants to put there. This resource is accessible the same way as all the resources with get and put requests. Before you modify this resources, you have to get the actual description value, change the properties you want to modify and then store the complete document again.","332","0.0332"
" /v2/login ","No","N/A","-3.0"," Login an app user at thethings.iO Platform. Returns the session token and roles. The object roles identifies the resources and things that the user has authorized the app to access.","59","0.0058999998"
" /v2/me/resources/RESOURCE ","No","N/A","-3.0"," Get resource values This endpoint returns the values of the specified resource.","46","0.0046"
" /v2/things/THING_TOKEN/firmwares/download/FIRMWARE_ID ","No","N/A","-3.0"," Download firmware Download the firmware using the firmware ID (from the previous API call) and thing token.","171","0.017099999"
" /v2/things/THING_TOKEN ","No","N/A","-3.0"," Thing Magic Resources Write Magic resources are specials resources that start with $, and have some special behaviors, like trigger some common task, or update static data. These resources can be used as the others using read and write operations.","211","0.0211"
" Itget/v2/things/THING_TOKEN/resources ","No","N/A","-3.0"," Get Resources Returns the names of the resources of the thing.","43","0.0042999997"
" /v2/things ","No","N/A","-3.0"," Activates a thing with an activation code. The result is a thing token. You will be able to retrieve this thing token at any time from the panel.","37","0.0037"
" /v2/things/THING_TOKEN/resources/RESOURCE_KEY ","No","N/A","-3.0"," This method returns the values of the resource with the specified RESOURCE_KEY from the corresponding THING_TOKEN. To read data, use the operation GET /things/ with the thing token and the key that you are using to store the values.","255","0.0255"
" /v2/me/grant ","No","N/A","-3.0"," Sharing resources When a user wants to give access to his or her resources to another user, the app can grant the endpoint. But this time the app has to pass the email of the granted user. The granted user will also receive an email to confirm this action.","89","0.0089"
" /v2/me/resources/RESOURCE?subscribe=true&keepAlive=TIME_MS ","No","N/A","-3.0"," Subscribe to resource values Endpoint to subscribe to the real-time updates. Once subscribed, you will receive a message each time that the resource receives a new value. If there are no updates the server will send {} after the interval you specified for keepAlive. You should also keep a timer, and if you don�t receive updates after the keepAlive time is expired, you have to resubscribe. This could happen if the Wi-Fi is down or something happens to the connection. To subscribe from a browser we recommend to use Websocket. REST API subscription is not reliable on browsers.","746","0.074599996"
" /v2/me/things ","No","N/A","-3.0"," How to Unlink a thing If you want to remove the ownership of a thing from a user, a procedure called unlink thing is necessary which allows the platform to know that the user is no longer the owner of the thing. In order to unlink the thing the user must be logged in and the thing must be activated and previously linked. Unlink thing from an app with the thing ID The thing lD could be retrieved from the GET:/me/things or GET:/me/resources After this, the app does not have access to the user's thing data anymore.","179","0.0179"
" /v2/me/resources/description/THING_ID ","No","N/A","-3.0"," Update thing's description There is a special resource called description that can contain meta data about the thing. This meta data could be the name of the thing (chosen by the user), geocoordinates, JSON objects and any other data the developer wants to put there. This resource is accesible the same way as all the resources with get and put requests. Before you modify this resources, you have to get the actual description value, change the properties you want to modify and then store the complete document again.","394","0.0394"
" /v2/classes/me/ID_COLLECTION?subscribe=true&keepAlive=TIME_MS ","No","N/A","-3.0"," Subscribe to collection Subscribes to collection updates. When somebody updates the collection you will be notified.","85","0.0084999995"
" /v2/things/THING_TOKEN/resources/$MAGIC_RESOURCE ","No","N/A","-3.0"," Thing Magic Resources Read Magic resources are specials resources that start with $, and have some special behaviors, like trigger some common task, or update static data. These resources can be used as the others using read and write operations.","243","0.0243"
" /v2/me/settings ","No","N/A","-3.0"," Update User Settings Sometimes the app needs to store additional data about the user like gender, avatar, hair color, etc. In that case the app can use the endpoint '/me/settings' in order to set and get the user�s settings. The user�s settings are not meant to store large amounts of data. It�s more likely a small key/value store. Updates the settings key/value object. There is a special key password that will update the user�s password with the app.","153","0.015299999"
