"Uri","Contextual?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
"/v2/things","Yes","1","2.0","[thing, resource, user, token, app, datum, object, update, key, store, set, collection, subscribe, put, time]","35","0.0034999999"
"/v2/things/THING_TOKEN","Yes","1","2.0","[thing, resource, user, token, app, datum, object, update, key, store, set, collection, subscribe, put, time]","89","0.0089"
"/v2/things/THING_TOKEN/resources/RESOURCE_KEY","Yes","1","2.0","[thing, resource, user, token, app, datum, object, update, key, store, set, collection, subscribe, put, time]","203","0.020299999"
"/v2/things/THING_TOKEN","Yes","1","2.0","[thing, resource, user, token, app, datum, object, update, key, store, set, collection, subscribe, put, time]","104","0.0104"
"/v2/things/THING_TOKEN","Yes","1","2.0","[thing, resource, user, token, app, datum, object, update, key, store, set, collection, subscribe, put, time]","88","0.0088"
"/v2/things/THING_TOKEN/resources/$MAGIC_RESOURCE","No","No","0.0","N/A","N/A","0.0221"
"Itget/v2/things/THING_TOKEN/resources","No","No","0.0","N/A","N/A","0.0157"
"/v2/things/THING_TOKEN/tags","Yes","1","1.5491096","[thing, resource, user, token, app, datum, object, update, key, store, set, collection, subscribe, put, time]","114","0.011399999"
"/v2/things/THING_TOKEN/tags","Yes","1","1.5491096","[thing, resource, user, token, app, datum, object, update, key, store, set, collection, subscribe, put, time]","143","0.0143"
"/v2/things/THING_TOKEN/tags/TAG_ID","Yes","2","1.2238402","[procedure, token, download, firmware, large, password, call, role, tag, trigger, start, real, mcu, model, web]","167","0.0167"
"/v2/register","Yes","1","0.2154553","[thing, resource, user, token, app, datum, object, update, key, store, set, collection, subscribe, put, time]","28","0.0028"
"/v2/login","Yes","2","1.3628013","[procedure, token, download, firmware, large, password, call, role, tag, trigger, start, real, mcu, model, web]","25","0.0025"
"/v2/me/things","Yes","1","2.0","[thing, resource, user, token, app, datum, object, update, key, store, set, collection, subscribe, put, time]","33","0.0033"
"/v2/me/resources","Yes","1","2.0","[thing, resource, user, token, app, datum, object, update, key, store, set, collection, subscribe, put, time]","33","0.0033"
"/v2/me/grant","Yes","1","0.3801958","[thing, resource, user, token, app, datum, object, update, key, store, set, collection, subscribe, put, time]","33","0.0033"
"/v2/me/grant","Yes","1","0.3801958","[thing, resource, user, token, app, datum, object, update, key, store, set, collection, subscribe, put, time]","31","0.0030999999"
"/v2/me/resources/RESOURCE","Yes","1","2.0","[thing, resource, user, token, app, datum, object, update, key, store, set, collection, subscribe, put, time]","74","0.0074"
"/v2/me/resources/RESOURCE?subscribe=true&keepAlive=TIME_MS","Yes","1","2.0","[thing, resource, user, token, app, datum, object, update, key, store, set, collection, subscribe, put, time]","71","0.0071"
"/v2/me/resources/description","Yes","1","1.3722727","[thing, resource, user, token, app, datum, object, update, key, store, set, collection, subscribe, put, time]","69","0.0069"
"/v2/me/resources/description/THING_ID","Yes","1","1.3656164","[thing, resource, user, token, app, datum, object, update, key, store, set, collection, subscribe, put, time]","109","0.0109"
"/v2/me/settings","Yes","1","0.7392276","[thing, resource, user, token, app, datum, object, update, key, store, set, collection, subscribe, put, time]","35","0.0034999999"
"/v2/me/settings","Yes","1","0.7392276","[thing, resource, user, token, app, datum, object, update, key, store, set, collection, subscribe, put, time]","30","0.003"
"/v2/utils/date/?format=FORMAT","No","No","0.0","N/A","N/A","0.0052"
"/v2/classes/me/ID_COLLECTION","Yes","2","0.36373818","[procedure, token, download, firmware, large, password, call, role, tag, trigger, start, real, mcu, model, web]","105","0.0105"
"/v2/classes/me/ID_COLLECTION/PRIMARY_KEY","Yes","2","0.39586794","[procedure, token, download, firmware, large, password, call, role, tag, trigger, start, real, mcu, model, web]","160","0.015999999"
"/v2/things/ID_COLLECTION/PRIMARY_KEY","Yes","1","1.4757812","[thing, resource, user, token, app, datum, object, update, key, store, set, collection, subscribe, put, time]","165","0.0165"
"/v2/classes/me/ID_COLLECTION/PRIMARY_KEY","Yes","2","0.39586794","[procedure, token, download, firmware, large, password, call, role, tag, trigger, start, real, mcu, model, web]","162","0.0162"
"/v2/classes/me/ID_COLLECTION","Yes","2","0.36373818","[procedure, token, download, firmware, large, password, call, role, tag, trigger, start, real, mcu, model, web]","105","0.0105"
"/v2/classes/me/ID_COLLECTION?subscribe=true&keepAlive=TIME_MS","Yes","2","0.36373818","[procedure, token, download, firmware, large, password, call, role, tag, trigger, start, real, mcu, model, web]","75","0.0075"
"/v2/me/things","Yes","1","2.0","[thing, resource, user, token, app, datum, object, update, key, store, set, collection, subscribe, put, time]","23","0.0023"
"/v2/me/things","Yes","1","2.0","[thing, resource, user, token, app, datum, object, update, key, store, set, collection, subscribe, put, time]","25","0.0025"
"/v2/things/THING_TOKEN/firmwares/download/FIRMWARE_ID","Yes","1","1.4095461","[thing, resource, user, token, app, datum, object, update, key, store, set, collection, subscribe, put, time]","153","0.015299999"
"/v2/things/THING_TOKEN/firmwares/latest","No","No","0.0","N/A","N/A","0.0106999995"
